Time, ChemicalEnergy, ElasticEnergy
0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00
1.000000000000000e+00, 2.499999138187070e+03, 4.620453602305806e+02
2.000000000000000e+00, 2.499993482076167e+03, 4.620450982804168e+02
3.000000000000000e+00, 2.499991613077771e+03, 4.620451701041123e+02
4.000000000000000e+00, 2.499989930145879e+03, 4.620453508584851e+02
5.000000000000000e+00, 2.499988072602695e+03, 4.620456089406455e+02
6.000000000000000e+00, 2.499985908073809e+03, 4.620459413660980e+02
7.000000000000000e+00, 2.499983338440957e+03, 4.620463548421912e+02
8.000000000000000e+00, 2.499980263531380e+03, 4.620468616074904e+02
9.000000000000000e+00, 2.499976568722472e+03, 4.620474784782988e+02
1.000000000000000e+01, 2.499972117593231e+03, 4.620482269489353e+02
1.100000000000000e+01, 2.499966745384755e+03, 4.620491337910028e+02
1.200000000000000e+01, 2.499960251900724e+03, 4.620502319937397e+02
1.300000000000000e+01, 2.499952393186662e+03, 4.620515620144297e+02
1.400000000000000e+01, 2.499942871502431e+03, 4.620531733614736e+02
1.500000000000000e+01, 2.499931323107439e+03, 4.620551265616805e+02
1.600000000000000e+01, 2.499917303315789e+03, 4.620574955867373e+02
1.700000000000000e+01, 2.499900268180343e+03, 4.620603708350050e+02
1.800000000000000e+01, 2.499879552020673e+03, 4.620638627899708e+02
1.900000000000000e+01, 2.499854339842248e+03, 4.620681065038547e+02
2.000000000000000e+01, 2.499823633478944e+03, 4.620732670893443e+02
2.100000000000000e+01, 2.499786210026300e+03, 4.620795464412327e+02
2.200000000000000e+01, 2.499740570816191e+03, 4.620871914582473e+02
2.300000000000000e+01, 2.499684878789622e+03, 4.620965040913537e+02
2.400000000000000e+01, 2.499616881654701e+03, 4.621078536111244e+02
2.500000000000000e+01, 2.499533817648134e+03, 4.621216915642356e+02
2.600000000000000e+01, 2.499432300029758e+03, 4.621385699768686e+02
2.700000000000000e+01, 2.499308175638824e+03, 4.621591634609292e+02
2.800000000000000e+01, 2.499156351874108e+03, 4.621842959840089e+02
2.900000000000000e+01, 2.498970585360759e+03, 4.622149731705947e+02
3.000000000000000e+01, 2.498743224301459e+03, 4.622524210983020e+02
3.100000000000000e+01, 2.498464895115217e+03, 4.622981326216428e+02
3.200000000000000e+01, 2.498124122490437e+03, 4.623539222654039e+02
3.300000000000000e+01, 2.497706870516002e+03, 4.624219906354631e+02
3.400000000000000e+01, 2.497195991303330e+03, 4.625049990245920e+02
3.500000000000000e+01, 2.496570566775043e+03, 4.626061543443025e+02
3.600000000000000e+01, 2.495805129594014e+03, 4.627293035486691e+02
3.700000000000000e+01, 2.494868751324911e+03, 4.628790351427821e+02
3.800000000000000e+01, 2.493723991053686e+03, 4.630607829577721e+02
3.900000000000000e+01, 2.492325707548574e+03, 4.632809238713632e+02
